dataset,case_name,algorithm,pair_npz,result_file,status,elapsed_time_s,chosen_direction,point_rmse_forward_mm,point_rmse_inverse_mm,rmse_mm,mi,dice,asd_mm,assd_mm,hd95_mm,tre95_mm,tre_mean_mm,message
AbdomenMRCT_CT_MRI,AbdomenMRCT_0002__CT_to_MRI_mixed,ants,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0002__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/ants/AbdomenMRCT_CT_MRI/AbdomenMRCT_0002__CT_to_MRI_mixed_ants.npz,success,3.3060007095336914,forward,52.62344209859044,54.655288804589375,nan,0.1767539158219866,0.32202956923228054,43.150595833358786,35.08989811888746,92.71029605522357,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0003__CT_to_MRI_mixed,modified,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0003__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified/data/AbdomenMRCT_0003_CT_to_MRI_mixed_result.mat,success,0.706848,forward,7.489132034258755,26.30769809024553,nan,0.052570633740220515,0.6793735067693124,7.326958458098161,7.268488299495043,18.867962264113206,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0003__CT_to_MRI_mixed,modified_full,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0003__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified_full/data/AbdomenMRCT_0003_CT_to_MRI_mixed_result.mat,success,2.024186,forward,7.390828159032954,25.789202868253238,nan,0.05288883405011929,0.6830034829676411,7.268393522489156,7.207313621271964,18.867962264113206,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0003__CT_to_MRI_mixed,random_baseline,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0003__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/random_baseline/data/AbdomenMRCT_0003_CT_to_MRI_mixed_result.mat,success,0.722592,forward,7.658424283525847,28.27449753281176,nan,0.0471601539692806,0.6667971737475052,7.531178076258394,7.575204751622772,19.390719429665317,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0003__CT_to_MRI_mixed,icp,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0003__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/icp/AbdomenMRCT_CT_MRI/AbdomenMRCT_0003__CT_to_MRI_mixed_icp.npz,success,2.341891050338745,forward,7.204284601658237,22.956015481922307,nan,0.05232414972737166,0.6982777070824547,7.01849272566173,7.04953500673212,20.0,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0003__CT_to_MRI_mixed,fgr,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0003__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/fgr/AbdomenMRCT_CT_MRI/AbdomenMRCT_0003__CT_to_MRI_mixed_fgr.npz,success,0.4942605495452881,forward,8.604894434428392,20.28524949399258,nan,0.05627396631795834,0.6862988426417499,7.666623198110684,7.61702919814881,23.07378005096472,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0003__CT_to_MRI_mixed,ants,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0003__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/ants/AbdomenMRCT_CT_MRI/AbdomenMRCT_0003__CT_to_MRI_mixed_ants.npz,success,3.436298131942749,inverse,17.525355242071882,11.834904206531167,nan,0.08089338260847773,0.5406053768881737,10.879270934762948,11.235838476648407,32.0624390837628,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0004__CT_to_MRI_mixed,modified,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0004__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified/data/AbdomenMRCT_0004_CT_to_MRI_mixed_result.mat,success,0.812885,forward,7.918894836844832,23.443209734102474,nan,0.14685699033445462,0.817253039055842,5.8518157216136775,5.1394284580768765,14.142135623730951,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0004__CT_to_MRI_mixed,modified_full,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0004__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified_full/data/AbdomenMRCT_0004_CT_to_MRI_mixed_result.mat,success,1.952469,forward,7.949432264784383,23.656753492673865,nan,0.15064382694142103,0.8192658792376573,5.820505424200075,5.0956641099831685,14.2828568570857,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0004__CT_to_MRI_mixed,random_baseline,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0004__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/random_baseline/data/AbdomenMRCT_0004_CT_to_MRI_mixed_result.mat,success,0.585107,forward,8.254655291876215,24.191131747742777,nan,0.14252197236298886,0.8149042998980709,6.001364405799094,5.178166727511408,14.696938456699069,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0004__CT_to_MRI_mixed,icp,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0004__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/icp/AbdomenMRCT_CT_MRI/AbdomenMRCT_0004__CT_to_MRI_mixed_icp.npz,success,1.8813624382019043,forward,7.90392658167459,24.18231054870169,nan,0.1494938931466477,0.8194708201938545,5.820245393858937,5.104780034074341,14.142135623730951,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0004__CT_to_MRI_mixed,fgr,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0004__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/fgr/AbdomenMRCT_CT_MRI/AbdomenMRCT_0004__CT_to_MRI_mixed_fgr.npz,success,0.4560971260070801,forward,8.134776303716173,24.685697952298256,nan,0.1464443339868146,0.8183961716263619,5.893406344813018,5.134095701240181,14.966629547095765,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0004__CT_to_MRI_mixed,ants,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0004__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/ants/AbdomenMRCT_CT_MRI/AbdomenMRCT_0004__CT_to_MRI_mixed_ants.npz,success,3.231018304824829,inverse,14.885937424597435,11.053161449239445,nan,0.12170648243018187,0.6589284366162013,9.88269062725036,9.402196987762665,24.657656011875904,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0005__CT_to_MRI_mixed,modified,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0005__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified/data/AbdomenMRCT_0005_CT_to_MRI_mixed_result.mat,success,0.738108,forward,7.057481043370369,19.894094639700658,nan,0.043390429077890674,0.5703843326142666,9.151776494849583,11.21048939094402,26.0,nan,nan,
